id,name,country,country_code,abbreviation,gender,pro_year,handedness,highest_singles_ranking,highest_doubles_ranking,weight,height,date_of_birth,highest_singles_ranking_date,highest_doubles_ranking_date,Clothing,Shoes,Racket,Sleeve/Shirt/Cap
sr:competitor:138546,"Paul, Tommy",USA,USA,PAU,male,2015.0,right,12.0,97.0,82.0,185.0,1997-05-17,10.2023,9.2022,,,,
sr:competitor:83397,"Ofner, Sebastian",Austria,AUT,OFN,male,2014.0,right,37.0,240.0,78.0,188.0,1996-05-12,1.2024,1.2024,Lotto,Lotto,Babolat,Omni Biotic | KNV
sr:competitor:57163,"Zverev, Alexander",Germany,DEU,ZVE,male,2013.0,right,2.0,68.0,90.0,198.0,1997-04-20,6.2022,3.2019,Adidas,Adidas,Head,
sr:competitor:16375,"Evans, Daniel",Great Britain,GBR,EVA,male,2006.0,right,21.0,52.0,75.0,175.0,1990-05-23,8.2023,4.2021,,,,
sr:competitor:14414,"Gasquet, Richard",France,FRA,GAS,male,2002.0,right,7.0,45.0,79.0,183.0,1986-06-18,7.2007,4.2008,Le Coq Sportif,Le Coq Sportif,Head,
sr:competitor:14844,"Monfils, Gael",France,FRA,MON,male,2004.0,right,6.0,155.0,85.0,193.0,1986-09-01,11.2016,8.2011,Artengo,Artengo,Artengo,MacPaw
sr:competitor:87690,"Thompson, Jordan",Australia,AUS,THO,male,2013.0,right,26.0,3.0,82.0,183.0,1994-04-20,11.2024,11.2024,New Balance,New Balance,Babolat,The Economist
sr:competitor:871495,"Michelsen, Alex",USA,USA,MIC,male,,right,41.0,93.0,,,2004-08-25,11.2024,11.2024,Adidas,Adidas,Babolat,
sr:competitor:49417,"Tu, Li",Australia,AUS,TUL,male,,right,178.0,197.0,,,1996-05-27,11.2024,1.2023,,,,
sr:competitor:359608,"Maestrelli, Francesco",Italy,ITA,MAE,male,,right,149.0,318.0,,,2002-12-21,6.2023,8.2023,,,,
sr:competitor:276685,"Skatov, Timofey",Kazakhstan,KAZ,SKA,male,,right,123.0,,,,2001-01-21,9.2023,,,,,
sr:competitor:298122,"Zeppieri, Giulio",Italy,ITA,ZEP,male,,left,110.0,242.0,,,2001-12-07,1.2024,4.2022,,,,
